phase,area,file,code_reference,issue,impact,resolution,status
Frontend,Routing,online_retail_rfm\server.py;/templates\index.html,"server.py:L10-L33; templates\index.html",Index page not served at "/",Users must open /templates/index.html manually,"Serve templates/index.html for ""/"" in handler or move index.html to BASE_DIR",Open
Data,Storage,"clustering.db (root); online_retail_rfm\clustering.db",N/A,Duplicate SQLite databases in two locations,Risk of training/serving on wrong database,Keep single authoritative DB under online_retail_rfm and remove root copy,Open
Training,Prerequisite,online_retail_rfm\train.py; online_retail_rfm\init_db.py,"train.py:L16-L21; init_db.py:L10-L29;L31-L83",Training assumes database already exists,Running train fails on fresh checkout,"Check for table/rows; if empty, call ensure_db+populate_synthetic or document explicit init step",Open
Preprocess,Data cleaning,online_retail_rfm\preprocess.py,preprocess.py:L12-L19,Only filters cancellations by InvoiceNo starting with 'C',Negative/invalid quantity rows may slip in on other datasets,Also filter Quantity > 0 defensively,Open
Modeling,Labeling,online_retail_rfm\train.py,train.py:L30-L37,Hard-coded cluster→segment names,Labels may not match learned cluster ordering,Derive labels by ordering clusters on R/F/M or analyze centroids,Open
API,Error handling,online_retail_rfm\server.py,server.py:L14-L19,Returns 400 when model not trained,HTTP status not semantically accurate,Return 503 Service Unavailable or 404 with descriptive JSON,Open
Frontend,Structure,online_retail_rfm\templates\index.html,N/A,"""templates"" directory used without a templating engine",Naming may confuse contributors,Either move static html to ROOT or integrate a templating framework,Open
Performance,ETL scale,online_retail_rfm\preprocess.py,preprocess.py:L9-L26,Reads full table into pandas for RFM,Memory-heavy for large datasets,Compute RFM in SQL or chunked reads,Open
Reporting,Metrics capture,online_retail_rfm\train.py; online_retail_rfm\reports\final_report.txt,"train.py:L39-L41; reports\final_report.txt",Silhouette only printed; report placeholder unused,Model quality not persisted,Write silhouette and cluster stats into final_report.txt,Open
Ops,Docs/scripts,project root,N/A,No single run entrypoint or README,Onboarding friction,Provide make-like script or README with init→train→serve steps,Open
