Project Name,Problem Identification,Data Issues / EDA,ML Model features,Results,Business Impact
Fake News Classification,Classify news text into factual vs fake,Missing text rows; label normalization; class imbalance; duplicates,Naive Bayes over word tokens; optional TF-IDF Logistic Regression,Accuracy and confusion matrix logged on run; model saved to artifacts,Supports rapid screening of misinformation; improves content trust and moderation
Fake News Classification (UI+Docs Update),Enhanced UX with tabs, sidebar and gradient header,Same preprocessing plus JSON model persistence,Streamlit UI with Train/Classify tabs; README manual added,Improved usability; easier demos and stakeholder reviews
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,NaiveBayes(word tokens); artifacts saved,"accuracy=0.8855; cm=[[7493, 1193], [607, 6424]]; when=2026-02-09T12:18:35.066337Z; sample_pred=1",Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,NaiveBayes(word tokens); artifacts saved,"accuracy=0.8855; cm=[[7493, 1193], [607, 6424]]; when=2026-02-09T12:39:35.546362Z",Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,NaiveBayes(word tokens); artifacts saved,"accuracy=0.8855; cm=[[7493, 1193], [607, 6424]]; when=2026-02-09T12:39:47.148831Z; sample_pred=0",Supports screening of misinformation; improves content trust
Fake News Classification,Backend refactor to Flask + fixed splits,Same cleaning and label normalization; fixed train/val sizes,TF-IDF(LogReg) with shared preprocessing,"pending_accuracy; run backend/train_model.py; when=2026-02-25T00:00:00Z",Improved maintainability; API-ready predictions
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9458; when=2026-02-25T06:54:56.907335Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9445; when=2026-02-25T07:00:35.913768Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9406; when=2026-02-25T07:03:08.858674Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9414; when=2026-02-25T07:28:23.420609Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9414; when=2026-02-25T07:52:35.712294Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.947; when=2026-02-25T09:06:41.019644Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9414; when=2026-02-25T09:15:39.297018Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9414; when=2026-02-25T09:26:34.137710Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); unigrams+bigrams; shared preprocessing,accuracy=0.9414; when=2026-02-25T09:35:57.869411Z; val=15723; prod=7863,Supports screening of misinformation; improves content trust
Fake News Classification,Binary classification of news factuality using text,Missing text; label normalization; class imbalance; duplicates,TF-IDF(LogReg); bigrams; balanced classes; UI confidence+explainability,accuracy=0.9414; val=15723; prod=7863; features=confidence_bar+top_words,Stakeholder-friendly UI with confidence score; clearer decisions
